상급병실료|상급병실료|AB902|1인실|일반|150000||||||
자기공명영상 진단료(MRI)|근골격계|HE117|근골격계-수관절-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE118|근골격계-고관절-일반  ||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE120|근골격계-슬관절-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE121|근골격계-발목관절-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE122|근골격계-수부-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE123|근골격계-족부-일반||400000|||||급여기준 초과 실시 경우 비급여|44543
자기공명영상 진단료(MRI)|척추|HE209|척추-경추-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|척추|HE210|척추-흉추-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|척추|HE211|척추-요천추-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE215|근골격계-견관절-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE216|근골격계-주관절-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE217|근골격계-수관절-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE218|근골격계-고관절-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE220|근골격계-슬관절-조영제주입전·후 ||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|근골격계|HE221|근골격계-발목관절-조영제주입전후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|특수검사|HF101|특수검사-확산만||150000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|특수검사|HF201|특수검사-확산-기본검사와 동시실시||100000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|뇌|HI101|뇌-뇌-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|두경부|HI108|두경부-경부-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|흉부|HI125|흉부-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|복부|HI127|복부-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|뇌혈관|HI135|혈관-뇌혈관-일반||400000|||||급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|뇌|HI201|뇌-뇌-조영제주입전·후||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|두경부|HI208|두경부-경부-조영제주입전·후  ||500000||||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|전체|HXXXX|각 부위별 F/U MRI|FALLOW UP||200000|350000||O|급여기준 초과 실시 경우 비급여|
자기공명영상 진단료(MRI)|외부병원 필름판독|HX999|외부판독료||40000|||||부위별에 따라 상이|
이학요법료|기타이학요법료|MY142|증식치료|증식치료[사지관절부위]|100000||||포함||
이학요법료|기타이학요법료|MZ007|신장분사치료|CRYO||20000|30000|||부위에 따라 다름|
이학요법료|기타이학요법료|MX122|도수치료|도수치료||20000|130000|||시간에 따라 다름|44531
이학요법료|기타이학요법료|SZ084|체외충격파치료|ESWT[체외충격파치료]||30000|70000|||횟수및방법에 따라 다름|44501
처치및수술료|신경|SZ634|경피적 경막외강 신경성형술|PEN[경피적 경막외강 신경성형술]|500000| | |미포함||분절에 따라 금액 달라짐|
처치및수술료|근골|SZ083|추간판내 고주파 열치료술|IDET[추간판내 고주파 열치료술]|500000|||미포함||분절에 따라 금액 달라짐|
식대|식대|ME601|보호자식(1끼당)||6000||||||
식대|식대|ME610|공기밥||1000||||||
치료보조기구|치료보조기구|20330|목발|목발한쌍[Crutches]|15000||||||
치료보조기구|치료보조기구|12060|팔걸이|팔걸이[Arm Sling]|10000||||||
치료보조기구|치료보조기구|12063|석고신발|석고신발(Cast Shoes)|10000||||||
치료재료대|||||||||||
인체조직유래2차가공뼈||BC0100BU|RAFUGEN|1cc|1000000|||||용량에 따라 다름|
인체조직유래2차가공뼈||BC0100BU|RAFUGEN|3cc|2000000|||||용량에 따라 다름|
인체조직유래2차가공뼈||BC0101KJ|DEMIOS|1cc|800000|||||용량에 따라 다름|
인체조직유래2차가공뼈||BC0101KJ|DEMIOS 2.5cc|2.5cc|1800000|||||용량에 따라 다름|
재조합골형성단백질함유|||||||||||
골이식제||BC0301QT|NOVOSIS BMP-2||2500000||||||
보조기||BC1201YU|수성소프트칼라|Thomas Soft Collar|10000||||||
보조기||BC1202YU|8자쇄골밴드||15000||||||28/10/2021
압박고정용치료재료||BC1206RL|SUPPORT COVER(c cold pack)||70000||||||08/10/2021
압박고정용치료재료||BC1210BV|BONGUARD BAND||10000||||||02/12/2021
압박고정용치료재료||BC1220IL|BAND FIXTURE PLUS||50000||||||02/11/2021
척추고정용||BF0003GZ|ADR BAG-C(경추 인공디스크)||5000000||||||
척추경막외 유착방지제||BF0100VD|INTER BLOCK
